Depth Generated Branching Elapsed NodesPerMs
1 2 2.000000 0ms 1.#INF00
2 4 2.000000 0ms 1.#INF00
3 10 2.500000 0ms 1.#INF00
4 24 2.400000 0ms 1.#INF00
5 54 2.250000 0ms 1.#INF00
6 108 2.000000 0ms 1.#INF00
7 218 2.018519 0ms 1.#INF00
8 472 2.165138 0ms 1.#INF00
9 1030 2.182203 1ms 1030.000000
10 2204 2.139806 1ms 2204.000000
11 4666 2.117060 6ms 777.666667
12 9880 2.117445 13ms 760.000000
13 21046 2.130162 24ms 876.916667
14 44972 2.136843 63ms 713.841270
15 95930 2.133105 138ms 695.144928
16 204216 2.128802 207ms 986.550725
17 434694 2.128599 500ms 869.388000
18 925980 2.130188 976ms 948.750000
19 1973338 2.131081 1812ms 1089.038631
20 4204856 2.130834 4120ms 1020.596117
21 8957558 2.130289 8313ms 1077.536148
22 19080940 2.130150 16342ms 1167.601273
23 40648730 2.130332 35306ms 1151.326403
24 86600984 2.130472 73892ms 1171.994045
25 184499846 2.130459 161595ms 1141.742294
26 393057052 2.130392 343790ms 1143.305658
