Depth Generated Branching Elapsed NodesPerMs
1 2 2.000000 0ms 1.#INF00
2 6 3.000000 0ms 1.#INF00
3 18 3.000000 0ms 1.#INF00
4 60 3.333333 0ms 1.#INF00
5 198 3.300000 1ms 198.000000
6 684 3.454545 1ms 684.000000
7 2322 3.394737 1ms 2322.000000
8 8100 3.488372 5ms 1620.000000
9 27702 3.420000 20ms 1385.100000
10 96876 3.497076 75ms 1291.680000
11 331938 3.426421 314ms 1057.127389
12 1161540 3.499268 927ms 1253.009709
13 3981798 3.428033 3074ms 1295.314899
14 13935564 3.499817 11489ms 1212.948385
15 47777202 3.428437 35680ms 1339.047141
16 167218020 3.499954 120025ms 1393.193251
17 573313302 3.428538 402012ms 1426.109922
