Depth Generated Branching Elapsed NodesPerMs
1 2 2.000000 0ms 1.#INF00
2 6 3.000000 0ms 1.#INF00
3 18 3.000000 0ms 1.#INF00
4 58 3.222222 0ms 1.#INF00
5 186 3.206897 0ms 1.#INF00
6 602 3.236559 1ms 602.000000
7 1946 3.232558 1ms 1946.000000
8 6298 3.236382 3ms 2099.333333
9 20378 3.235630 13ms 1567.538462
10 65946 3.236137 44ms 1498.772727
11 213402 3.236011 145ms 1471.737931
12 690586 3.236080 455ms 1517.771429
13 2234778 3.236060 1552ms 1439.934278
14 7231898 3.236070 4669ms 1548.917970
15 23402906 3.236067 15109ms 1548.938116
16 75733402 3.236068 49597ms 1526.975462
17 245078426 3.236068 161436ms 1518.115080
18 793090458 3.236068 516375ms 1535.880819
